leaf,gSum_f32,gSum_f64,gSum_residual,hSum_f32,hSum_f64,hSum_residual,leafVal_f32,leafVal_f64,leafVal_residual
0,30.20099449,30.2009969316423,2.440065e-06,52,52,0.000000e+00,-0.01647326909,-0.0164732706854168,1.595360e-09
1,-11.75154209,-11.7515410096385,1.081731e-06,80,80,0.000000e+00,0.004247545265,0.00424754484830279,4.163585e-10
2,10.396245,10.3962455298752,5.271286e-07,56,56,0.000000e+00,-0.005286226049,-0.00528622642245812,3.733925e-10
3,-32.20137405,-32.2013756483793,1.594424e-06,52,52,0.000000e+00,0.01756438613,0.0175643863247032,1.953239e-10
4,1457.279419,1457.27888130408,5.376412e-04,2203,2203,0.000000e+00,-0.01981794275,-0.0198179353861926,7.367242e-09
5,-351.2615051,-351.261305987544,1.991394e-04,2380,2380,0.000000e+00,0.004422091879,0.00442208935966733,2.519283e-09
6,397.5119629,397.511277360725,6.855299e-04,2335,2335,0.000000e+00,-0.005100666545,-0.00510065785041474,8.694917e-09
7,-1544.379395,-1544.38155857578,2.164045e-03,2451,2451,0.000000e+00,0.01887994446,0.018879969731738,2.527313e-08
8,64.14351654,64.1435200124979,3.471971e-06,97,97,0.000000e+00,-0.01924305409,-0.0192430555736336,1.481703e-09
9,-14.28691006,-14.2869090470485,1.010019e-06,112,112,0.000000e+00,0.003727019764,0.00372701966809858,9.638439e-11
10,16.79247665,16.7924779022578,1.248205e-06,89,89,0.000000e+00,-0.005475807469,-0.00547580788921196,4.198738e-10
11,-54.86261368,-54.8626179946586,4.316680e-06,97,97,0.000000e+00,0.0164587833,0.0164587850305151,1.731784e-09
12,2712.374268,2712.37433168251,6.410439e-05,4132,4132,0.000000e+00,-0.01967865229,-0.019678652510686,2.241565e-10
13,-617.6242065,-617.624258199765,5.165680e-05,4482,4482,0.000000e+00,0.00413126545,0.00413126584879456,3.985256e-10
14,758.3417358,758.341031631571,7.042083e-04,4250,4250,0.000000e+00,-0.005349224433,-0.00534921947811894,4.955184e-09
15,-2858.156738,-2858.15048148582,6.256795e-03,4574,4574,0.000000e+00,0.01873381995,0.0187337803207418,3.962590e-08
16,8.295717239,8.29571822285652,9.834766e-07,11,11,0.000000e+00,-0.01777653582,-0.0177765386516416,2.827700e-09
17,-1.045275807,-1.04527589073405,8.335337e-08,14,14,0.000000e+00,0.001844604267,0.00184460447182996,2.050225e-10
18,3.481792212,3.48179222457111,1.303852e-08,7,7,0.000000e+00,-0.01044537686,-0.010445376440241,4.178742e-10
19,-8.224226952,-8.2242274582386,5.066395e-07,11,11,0.000000e+00,0.01762334257,0.017623344159456,1.585813e-09
20,296.1657715,296.165895059705,1.235753e-04,453,453,0.000000e+00,-0.01948459074,-0.0194845979236764,7.184665e-09
21,-76.62491608,-76.6248671317007,4.894496e-05,452,452,0.000000e+00,0.005052192137,0.00505218892872537,3.207920e-09
22,90.74534607,90.7453746509273,2.858159e-05,466,466,0.000000e+00,-0.005804606248,-0.00580460805688337,1.809190e-09
23,-303.7194214,-303.719462764449,4.137773e-05,490,490,0.000000e+00,0.01848191023,0.0184819141567418,3.928013e-09
24,10.30121708,10.3012191951275,2.115965e-06,18,18,0.000000e+00,-0.01471602451,-0.0147160270926819,2.582119e-09
25,-2.504758835,-2.50475856941193,2.654269e-07,24,24,0.000000e+00,0.002783065429,0.00278306501491802,4.140393e-10
26,3.018502712,3.01850300468504,2.924353e-07,30,30,0.000000e+00,-0.002744093304,-0.0027440935792875,2.747875e-10
27,-17.79829025,-17.7982889558189,1.296867e-06,30,30,0.000000e+00,0.01618026197,0.016180262325451,3.558847e-10
28,503.2764587,503.276570984861,1.122446e-04,758,758,0.000000e+00,-0.01984007098,-0.0198400746282163,3.650409e-09
29,-139.1556091,-139.155526235234,8.289563e-05,906,906,0.000000e+00,0.004592594225,0.00459259152227279,2.702687e-09
30,145.0034943,145.003543393745,4.913105e-05,866,866,0.000000e+00,-0.005005874205,-0.00500587595463738,1.749257e-09
31,-514.7549438,-514.754858267959,8.557970e-05,832,832,0.000000e+00,0.01849418879,0.0184941861112201,2.674333e-09
32,21.21082687,21.210824765265,2.108514e-06,35,35,0.000000e+00,-0.01674539037,-0.016745387598289,2.772199e-09
33,-4.947963238,-4.94796367175877,4.339963e-07,24,24,0.000000e+00,0.005497736856,0.00549773729018129,4.338399e-10
34,7.232018471,7.23201817832887,2.924353e-07,29,29,0.000000e+00,-0.006780017167,-0.00678001689063813,2.766917e-10
35,-19.24456406,-19.2445646375418,5.811453e-07,28,28,0.000000e+00,0.01862377115,0.0186237718136054,6.676656e-10
36,757.4632568,757.463569267187,3.124312e-04,1167,1167,0.000000e+00,-0.01942213438,-0.019422142367604,7.983091e-09
37,-173.7364349,-173.736387648794,4.728773e-05,1225,1225,0.000000e+00,0.004244375508,0.00424437419622517,1.312053e-09
38,247.6575165,247.657502278336,1.420116e-05,1237,1237,0.000000e+00,-0.005991714075,-0.00599171363087322,4.443345e-10
39,-856.2598877,-856.26037540508,4.877098e-04,1321,1321,0.000000e+00,0.01940165833,0.0194016697039162,1.137753e-08
40,37.84152603,37.8415101766586,1.585484e-05,57,57,0.000000e+00,-0.01892076246,-0.0189207546654175,7.798987e-09
41,-11.16331863,-11.1633199310163,1.296983e-06,49,49,0.000000e+00,0.006440376397,0.006440376739325,3.421027e-10
42,3.089896441,3.08989690151066,4.610047e-07,52,52,0.000000e+00,-0.001685398049,-0.00168539827224332,2.235221e-10
43,-33.00914764,-33.0091480351985,3.911555e-07,49,49,0.000000e+00,0.01904373989,0.0190437388254153,1.059676e-09
44,1416.323486,1416.32336610556,1.202226e-04,2154,2154,0.000000e+00,-0.0196985174,-0.0196985164735502,9.234958e-10
45,-359.4447937,-359.444837225368,4.352420e-05,2316,2316,0.000000e+00,0.004649997223,0.00464999779031242,5.671438e-10
46,415.4751282,415.47502931481,9.885902e-05,2264,2264,0.000000e+00,-0.005498127081,-0.00549812554073515,1.539765e-09
47,-1443.036499,-1443.03381589812,2.683125e-03,2345,2345,0.000000e+00,0.01843743213,0.0184373992799463,3.284526e-08
48,2.630382538,2.63038241863251,1.192093e-07,3,3,0.000000e+00,-0.01315191202,-0.0131519117991944,2.194623e-10
49,-1.197757721,-1.19775769114494,2.980232e-08,9,9,0.000000e+00,0.002994394163,0.00299439416093243,1.737346e-12
50,0.8826922178,0.882692217826843,0.000000e+00,5,5,0.000000e+00,-0.003310095752,-0.00331009574286426,8.793827e-12
51,-0.5158417225,-0.515841722488403,0.000000e+00,1,1,0.000000e+00,0.003868812928,0.00386881283218832,9.578793e-11
52,152.6469879,152.64696662128,2.129376e-05,246,246,0.000000e+00,-0.01839120314,-0.0183912003866692,2.748583e-09
53,-31.33217621,-31.33217293286,3.275636e-06,232,232,0.000000e+00,0.00399985211,0.0039998517743657,3.353347e-10
54,51.18888092,51.1888723221491,8.598261e-06,259,259,0.000000e+00,-0.00586132193,-0.00586132112725061,8.025916e-10
55,-159.4186554,-159.418718514033,6.311852e-05,245,245,0.000000e+00,0.01928451285,0.0192845219698484,9.122186e-09
56,9.468470573,9.46846970939077,8.640345e-07,15,15,0.000000e+00,-0.01578078419,-0.0157807824962566,1.693444e-09
57,-0.9117155075,-0.911715591326356,8.381903e-08,8,8,0.000000e+00,0.002486496931,0.00248649701167616,8.073422e-11
58,1.609679699,1.6096797734499,7.450581e-08,12,12,0.000000e+00,-0.003219359322,-0.0032193594749415,1.534218e-10
59,-9.361319542,-9.36131983995438,2.980232e-07,16,16,0.000000e+00,0.01478103083,0.014781030995862,1.695914e-10
60,273.7955322,273.795561611652,2.938509e-05,425,425,0.000000e+00,-0.01919127442,-0.0191912772541013,2.834674e-09
61,-62.62122345,-62.6212261617184,2.712011e-06,468,468,0.000000e+00,0.003988612909,0.00398861304216719,1.332972e-10
62,93.82240295,93.8224473851733,4.443107e-05,436,436,0.000000e+00,-0.006411553826,-0.00641155662560899,2.799426e-09
63,-285.1201172,-285.120082575362,3.461214e-05,458,458,0.000000e+00,0.01855445467,0.0185544518136073,2.855749e-09
